Name,Platform,Year_of_Release,Genre,Publisher,TOTAL_SALES_2019,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score,Developer,Rating
Jurassic World Evolution,XOne,2018,Simulation,Frontier Developments,0.26,0.15,0.09,,0.02,,,Frontier Developments,
Battle Royale Trainer,PC,2018,Shooter,Trickjump Games Ltd,0.26,,,,,,,Trickjump Games Ltd,
My Hero One's Justice,NS,2018,Fighting,Bandai Namco Entertainment,0.26,0.17,0.01,0.06,0.02,,,Byking,T
Jikkyou Powerful Pro Baseball 2018,PS4,2018,Sports,Konami,0.26,,,0.26,,,,Konami,
PixARK,PC,2018,Sandbox,Snail Games USA,0.26,,,,,,,Snail Games USA,
Tetris Effect,PS4,2018,Puzzle,Sony Interactive Entertainment,0.25,0.19,0.01,0.01,0.05,,,Monstars Inc.,E
Mega Man Legacy Collection 1+2,NS,2018,Platform,Capcom,0.25,0.2,,0.03,0.02,8.5,,Digital Eclipse Software,E10
Sid Meier's Civilization VI,NS,2018,Strategy,2K Games,0.25,0.12,0.11,0.01,0.02,9.4,,Firaxis Games,E10
Darksiders III,PS4,2018,Action,THQ Nordic,0.25,0.13,0.07,,0.04,,,Gunfire Games,M
Valkyria Chronicles 4,PS4,2018,Role-Playing,Sega,0.25,0.1,0.03,0.08,0.03,,,Sega,T
Hello Neighbor,NS,2018,Action,Gearbox Software,0.24,0.12,0.1,,0.02,,,Dynamic Pixels,E10
Earth Defense Force 5,PS4,2018,Shooter,D3 Publisher,0.24,,,0.24,,,6.5,Sandlot,
Street Fighter 30th Anniversary Collection,PS4,2018,Fighting,Capcom,0.24,0.11,0.07,0.02,0.04,,,Capcom,T
A Way Out,XOne,2018,Action,Electronic Arts,0.24,0.17,0.05,,0.02,8.1,,Hazelight,M
Just Dance 2019,Wii,2018,Music,Ubisoft,0.24,0.1,0.12,,0.02,,,Ubisoft Paris,E
Attack on Titan 2,NS,2018,Action,Koei Tecmo,0.23,0.12,0.02,0.08,0.02,7,,Omega Force,M
No Man's Sky,XOne,2018,Action-Adventure,505 Games,0.23,0.17,0.04,,0.02,,,Hello Games,T
Metal Gear Survive,PS4,2018,Action,Konami Digital Entertainment,0.23,0.08,0.06,0.05,0.03,,,Konami Digital Entertainment,M
Total War Saga: Thrones of Britannia,PC,2018,Strategy,Sega,0.22,,,,,,,Creative Assembly,
Attack on Titan 2,PS4,2018,Action,Koei Tecmo,0.22,0.09,0.04,0.06,0.03,7.8,,Omega Force,M
Life Is Strange: Before the Storm,PS4,2018,Adventure,Square Enix,0.22,0.11,0.06,0.02,0.03,7.5,,Deck Nine,M
